Date,WTI Spot Price ($ per barrel),WTI-Brent Price Spread ($),WTI Crack Spread,Brent Crack Spread,"OECD Petroleum Production, Annual, million barrels per day","OPEC Petroleum Production, Annual, million barrels per day","Rest of World Petroleum Production, Annual, million barrels per day","OECD Petroleum (Crude Oil) Consumption, Annual, million barrels per day","Non-OECD Petroleum (Crude Oil) Consumption, Annual, million barrels per day","China Import, Millions of tons",Kilian Global Economic Index,FEDFUNDS,U.S. ISM PMI Index,Henry Hub Natural Gas Spot Price Dollars per Million Btu,U.S. Total Crude Oil Inventory (Millions Barrels),U.S. Non-SPR Crude Oil Inventory (Millions Barrels),U.S. SPR Crude Oil Inventory (Millions Barrels),US Tight Oil Production (Millions of Barrels per day),Real Dollar Index,Closing Price: Gold ($ per ounce),Real GDP - Seasonally Adjusted (Billions of $),PPI by Commodity: Intermediate Demand by Commodity Type: Processed Energy Goods
2000-08-25,32.46,0.6900000000000013,10.173947419230714,10.863947419230712,22.818313844117693,31.511831453172313,24.25392982407308,49.611186562387935,28.462707677568186,6.22,10.250145723460022,6.599459638011463,49.9,4.63,842.054,270.948,571.106,0.408969,111.41999816894531,277.0,13216.511053602213,106.66458003875374
2000-09-01,33.08,-1.240000000000002,9.673124510285433,8.43312451028543,22.814928506675102,31.525012782714363,24.27001808689672,49.6195764853648,28.48341253457783,6.22,10.572120230005844,6.588459170147857,49.9,4.66,844.797,273.691,571.106,0.408969,114.33999633789062,273.29998779296875,13225.700169630336,106.86919071755874
2000-09-08,34.42,-2.009999999999998,8.446918313889716,6.43691831388972,22.811524957601698,31.538173509545334,24.286130783167856,49.62792596992694,28.504155716243194,6.22,10.838357187893543,6.5741163219475425,49.820634920634916,4.82,844.129,272.764,571.365,0.408969,115.94000244140625,272.29998779296875,13234.868962330685,107.06503805308589
2000-09-15,34.7,1.4400000000000048,8.275328830043563,9.715328830043566,22.808103343981607,31.551313570714644,24.30226783240426,49.63623500269312,28.52493714198586,6.22,11.046937920162321,6.556327743877889,49.73809523809524,5.05,841.647,270.282,571.365,0.408969,113.55999755859375,271.79998779296875,13244.017091656753,107.25212204533511
2000-09-22,35.49,2.3999999999999986,7.5883560587470145,9.98835605874701,22.80466381289896,31.564432903271726,24.318429154123585,49.64450357028207,28.545756731227403,6.22,11.19594374985138,6.534990086406252,49.7,5.17,841.146,269.781,571.365,0.408969,113.25,273.6000061035156,13253.144217562027,107.4304426943065
2000-09-29,31.13,1.7199999999999989,12.046000000000006,13.766000000000005,22.8012065114379,31.577531444266004,24.334614667843564,49.65273165931258,28.566614403389384,6.22,11.283456,6.51,49.7,5.21,841.541,270.873,570.668,0.408969,114.8499984741211,269.29998779296875,13262.25,107.6
2000-10-06,31.27,1.4400000000000013,11.99826065380256,13.438260653802564,22.797731586682552,31.590609130746913,24.350824293081878,49.660919256403396,28.587510077893395,6.22,11.292265020598876,6.48054148550431,49.7,5.2,842.032,271.752,570.28,0.4089358296559662,115.86000061035156,272.3999938964844,13270.87165023829,107.76079396241556
2000-10-13,33.9,2.0700000000000003,9.4551380201547,11.5251380201547,22.794239185717032,31.603665899763875,24.367057949356287,49.66906634817327,28.60844367416097,6.22,11.209143350637346,6.446045187318473,49.453086419753085,5.26,837.997,267.235,570.762,0.40888584102683906,117.16000366210938,271.20001220703125,13278.575637418518,107.91282458155328
2000-10-20,33.48,2.509999999999998,9.956632099056387,12.466632099056389,22.790729455625495,31.61670168836633,24.383315556184442,49.67717292124097,28.629415111613724,6.22,11.038145596652553,6.406777721241023,48.98395061728395,5.17,840.402,269.64,570.762,0.4088190677170805,117.38999938964844,264.3999938964844,13285.405508305173,108.0560918574131
2000-10-27,33.92,2.5700000000000003,9.592742890507656,12.162742890507653,22.787202543492064,31.629716433603697,24.399597033084078,49.68523896222525,28.65042430967321,6.22,10.783326365181635,6.363005703070491,48.7,4.68,836.037,268.151,567.886,0.40873554333115175,114.97000122070312,264.6000061035156,13291.404809662748,108.19059578999503
2000-11-03,32.78,1.8800000000000026,10.8034703945085,12.683470394508504,22.783658596400862,31.64271007252541,24.415902299572892,49.69326445774487,28.671471187761007,6.22,10.448740262761728,6.314995748605409,48.7,4.49,832.589,266.594,565.995,0.40863530147351457,115.79000091552734,264.5,13296.61708825573,108.31633637929906
2000-11-10,33.46,1.870000000000001,10.188814611058907,12.058814611058907,22.780097761436032,31.655682542180905,24.432231275168576,49.701249394418596,28.69255566529868,6.22,10.03844189592997,6.263014473644313,48.63745983426349,4.96,832.589,268.091,564.498,0.40851837574863065,117.30999755859375,265.70001220703125,13301.085890848612,108.43331362532524
2000-11-17,35.0,1.6799999999999997,8.708775540158873,10.38877554015887,22.776520185681697,31.6686337796196,24.448583879388856,49.709193758865176,28.713677661707806,6.22,9.556485871223504,6.207328493985734,48.56751226111957,5.78,834.581,274.255,560.326,0.4083847997609615,118.4800033569336,266.29998779296875,13304.854764205882,108.54152752807352
2000-11-24,35.91,2.4499999999999957,7.8533531818084255,10.303353181808424,22.772926016221987,31.681563721890928,24.46496003175143,49.71709753770338,28.734837096409947,6.22,9.006926795179465,6.148204425428206,48.5,6.29,828.454,274.177,554.277,0.40823460711496884,114.7300033569336,268.70001220703125,13307.967255092033,108.64097808754391
2000-12-01,34.1,1.5700000000000003,9.71254753600752,11.282547536007522,22.769315400141036,31.694472306044315,24.48135965177403,49.72496071755196,28.756033888826693,6.22,8.393819274334994,6.085908883770261,48.5,6.18,828.995,276.195,552.8,0.40806783141511416,114.05000305175781,272.20001220703125,13310.466910271552,108.7316653037364
2000-12-08,29.69,1.4100000000000001,14.166358602756205,15.576358602756207,22.765688484522975,31.707359469129198,24.497782658974323,49.73278328502967,28.7772679583796,6.22,7.721217915227229,6.0207084848104335,47.814121626203715,8.16,820.53,272.826,547.704,0.40788450626585904,112.9000015258789,270.3999938964844,13312.397276508931,108.81358917665105
2000-12-15,29.05,3.1099999999999994,14.844786382054442,17.95478638205444,22.762045416451937,31.720225148195006,24.51422897287004,49.74056522675527,28.798539224490256,6.22,6.993177324393305,5.952869844347255,46.35067136850672,8.37,819.194,275.859,543.335,0.4076846652716652,110.81999969482422,273.70001220703125,13313.801900568662,108.88674970628779
2000-12-22,27.38,3.8999999999999986,16.54783087390226,20.447830873902262,22.758386343012056,31.73306928029116,24.530698512978866,49.74830652934753,28.819847606580225,6.22,6.213752108370366,5.882659578179259,44.81188542655635,9.86,816.514,274.608,541.906,0.4074683420369942,109.55999755859375,272.0,13314.72432921523,108.95114689264665
2000-12-29,26.52,4.039999999999999,17.435492078299642,21.47549207829964,22.754711411287452,31.74589180246709,24.547191198818545,49.756007179425204,28.84119302407108,6.22,5.38699687369555,5.81034430210498,43.9,9.88,813.959,272.771,541.188,0.4072355701663076,108.41999816894531,268.0,13315.20810921313,109.0067807357276
2001-01-05,27.8,3.75,16.162993613131345,19.912993613131345,22.751020768362267,31.758692651772233,24.563706949906745,49.763667163607046,28.8625753963844,6.22,4.516966226905989,5.736190631922949,43.9,9.79,812.75,272.072,540.678,0.4069863832640673,109.36000061035156,263.8999938964844,13315.296787326854,109.04517457010172
2001-01-12,28.81,3.789999999999999,15.125559096282137,18.915559096282134,22.747314561320625,31.771471765256013,24.580245685761195,49.77128646851182,28.883994642941747,6.22,3.6077147745388283,5.6604651834316995,43.336417715845656,9.57,811.74,271.062,540.678,0.40672081493473444,110.66000366210938,264.29998779296875,13315.033910320883,109.05785173034005
2001-01-19,30.63,5.259999999999998,13.243188527752006,18.503188527752005,22.743592937246664,31.78422907996787,24.596807325899558,49.778865080758294,28.905450683164702,6.22,2.663297123131206,5.5834345724297645,42.6601841665648,7.68,810.63,269.952,540.678,0.40643889878277095,111.45999908447266,262.79998779296875,13314.463024959718,109.04481221644264
2001-01-26,31.35,4.200000000000003,12.42588190754094,16.625881907540947,22.739856043224506,31.79696453295721,24.613391789839604,49.78640298696519,28.92694343647482,6.22,1.6877678792202575,5.505365414715679,42.3,7.07,807.06,266.382,540.678,0.4061406684126383,110.31999969482422,267.1000061035156,13313.627678007842,109.0060560284094
2001-02-02,29.59,2.3999999999999986,14.053639235648978,16.453639235648975,22.736104026338293,31.809678061273484,24.629998997099026,49.79390017375131,28.948472822293695,6.22,0.6851816493431242,5.426524326087973,42.3,6.23,810.971,269.298,541.673,0.40582615742879813,111.5199966430664,259.8999938964844,13312.57141622975,108.9415831662404
2001-02-09,30.92,1.3000000000000007,12.556460512076063,13.856460512076064,22.732337033672152,31.822369601966116,24.646628867195474,49.801356627735395,28.970038760042907,6.22,-0.34040695996305637,5.34717792234518,42.23415637860082,5.98,814.338,272.662,541.676,0.40549539943571217,112.26000213623047,258.20001220703125,13311.337786389931,108.85139362993559
2001-02-16,29.67,2.0400000000000027,13.604345736822244,15.644345736822245,22.728555212310205,31.83503909208453,24.663281319646735,49.8087723355362,28.991641169143996,6.22,-1.3849433421611472,5.267592819285835,42.16337448559671,5.63,802.458,260.782,541.676,0.40514842803784185,112.02999877929688,260.8999938964844,13309.970335252874,108.735487419495
2001-02-23,28.65,2.3599999999999994,14.387294909887515,16.74729490988751,22.7247587093366,31.847686468678155,24.679956273970436,49.81614728377249,29.013279969018562,6.22,-2.4443728907140043,5.18803563270847,42.1,5.13,805.337,263.661,541.676,0.4047852768396488,111.16999816894531,262.1000061035156,13308.51260958307,108.59386453491864
2001-03-02,27.91,2.6499999999999986,14.855308031271852,17.505308031271852,22.72094767183545,31.86031166879643,24.696653649684347,49.82348145906302,29.034955079088157,6.22,-3.514640999084498,5.1087729784116185,42.1,5.14,802.625,260.949,541.676,0.40440597944559475,111.44000244140625,270.79998779296875,13307.008156145008,108.4265249762065
2001-03-09,28.45,2.5199999999999996,14.00838510097526,16.52838510097526,22.7171222468909,31.872914629488776,24.713373366306126,49.83077484802655,29.05666641877437,6.22,-4.591693060735482,5.0300714721938125,42.38395061728396,5.24,811.05,268.92,542.13,0.40401056946014124,115.31999969482422,258.1000061035156,13305.500521703181,108.23346874335856
2001-03-16,27.02,2.6900000000000013,15.096526118997764,17.786526118997767,22.713282581587073,31.88549528780462,24.730115343353525,49.83802743728183,29.078413907498767,6.22,-5.671474469129821,4.9521977298535855,42.85308641975309,5.12,816.213,273.922,542.291,0.4035990804877499,115.94000244140625,261.5,13304.033253022075,108.01469583637483
2001-03-23,26.42,2.9400000000000013,15.319731085339333,18.259731085339336,22.70942882300811,31.8980535807934,24.746879500344207,49.84523921344764,29.100197464682925,6.22,-6.749930617730376,4.87541836718947,43.1,5.2,827.401,285.11,542.291,0.40317154613288225,117.37000274658203,257.8999938964844,13302.649896866185,107.7702062552553
2001-03-30,26.86,2.8200000000000003,14.467999999999995,17.287999999999993,22.70556111823813,31.910589445504534,24.763665756795902,49.85241016314272,29.122017009748404,6.22,-7.8230069,4.8,43.1,5.39,829.086,286.795,542.291,0.402728,114.75,260.0,13301.394,107.5
2001-04-06,26.76,2.7600000000000016,14.121332862979727,16.88133286297973,22.70167961436127,31.923102818987463,24.78047403222632,49.859540272985846,29.14387246211679,6.22,-8.952799445524223,4.7224216704493385,43.1,5.27,832.897,290.606,542.291,0.4022252929976629,115.54000091552734,260.1000061035156,13299.393341358453,107.20407707060892
2001-04-13,28.27,2.2699999999999996,12.129729674278545,14.399729674278547,22.697784458461662,31.9355936382916,24.797304246153175,49.86662952959576,29.16576374120965,6.22,-10.191279555163264,4.639843639520479,43.01934156378601,5.44,839.107,296.817,542.29,0.40163169172891655,114.31999969482422,264.79998779296875,13295.946167034763,106.88243746708204
2001-04-20,27.89,1.620000000000001,11.993190433896439,13.61319043389644,22.693875797623434,31.948061840466398,24.81415631809415,49.87367791959123,29.18769076644856,6.22,-11.519205379292053,4.5535543512402,42.849794238683124,5.21,837.742,295.392,542.35,0.40096435333995073,115.62000274658203,263.8999938964844,13291.351724530841,106.5350811894194
2001-04-27,26.99,0.9399999999999977,12.34171514183341,13.281715141833407,22.68995377893072,31.96050736256127,24.831030167566915,49.880685429591004,29.209653457255083,6.22,-12.917335068285514,4.464842249635273,42.7,4.99,844.067,301.717,542.35,0.4002404349769554,114.93000030517578,266.1000061035156,13285.909261348601,106.16200823762094
2001-05-04,28.36,1.0799999999999983,10.385303798089458,11.465303798089456,22.68601854946765,31.972930141625653,24.847925714089268,49.88765204621386,29.231651733050803,6.22,-14.366426772518576,4.374995778732478,42.7,4.56,845.144,302.335,542.809,0.3994770937861204,116.83999633789062,267.8999938964844,13279.91802498996,105.76321861168671
2001-05-11,28.12,0.3500000000000014,10.00395640266459,10.353956402664588,22.682070256318358,31.985330114708965,24.864842877178862,49.89457775607854,29.253685513257285,6.22,-15.847238642366165,4.28530338255859,42.350654695099145,4.22,848.081,304.811,543.27,0.39869148691363554,116.41000366210938,287.3999938964844,13273.67726295683,105.33871231161672
2001-05-18,29.08,0.7399999999999984,8.395410735513673,9.135410735513673,22.67810904656697,31.99770721886065,24.88178157635338,49.90146254580382,29.275754717296106,6.22,-17.34052882820321,4.197053505140386,41.7593340815563,4.31,851.423,308.153,543.27,0.3979007715056909,118.18000030517578,277.8999938964844,13267.486222751126,104.89294435909538
2001-05-25,28.92,-0.389999999999997,7.9260934763660345,7.536093476366038,22.674135067297613,32.01006139113013,24.898741731130578,49.908306402008435,29.297859264588833,6.22,-18.827055480404642,4.111534590504643,41.3,4.05,849.681,306.411,543.27,0.39712210470847625,118.88999938964844,266.3999938964844,13261.644151874762,104.45264488422956
2001-06-01,28.44,-0.41999999999999815,7.803742405176526,7.3837424051765295,22.67014846559444,32.02239256856682,24.915723261028138,49.915109311311156,29.31999907455705,6.22,-20.287576749345384,4.030035082678136,41.3,3.74,851.183,307.913,543.27,0.3963726436681816,119.20999908447266,273.3999938964844,13256.45029782965,104.0222689087037
2001-06-08,27.98,-0.8900000000000006,7.688357521945183,6.798357521945182,22.666149388541555,32.03470068822018,24.932726085563793,49.92187126033075,29.342174066622313,6.22,-21.702850785400358,3.953843425687641,41.912008978675644,3.79,842.979,299.709,543.27,0.3956695455309967,118.29000091552734,271.20001220703125,13252.2039081177,103.60181643251782
2001-06-15,28.9,0.029999999999997584,6.219938826671978,6.249938826671975,22.662137983223104,32.04698568713962,24.949750124255196,49.928592235685976,29.36438416020621,6.22,-23.053635738944504,3.8842480635599363,42.76711560044894,3.97,842.251,298.981,543.27,0.39502996744311164,118.91000366210938,272.29998779296875,13249.204230240835,103.1912874556719
2001-06-22,27.09,0.2699999999999996,7.508486319356919,7.778486319356915,22.658114396723214,32.05924750237457,24.96679529662009,49.93527222399556,29.386629274730304,6.22,-24.320689760352742,3.8225374403217973,43.2,3.81,842.243,298.973,543.27,0.39447106655071607,119.43000030517578,270.6000061035156,13247.750511700962,102.79068197816598
2001-06-29,26.37,-0.259999999999998,7.733999999999999,7.473999999999999,22.654078776126013,32.07148607097445,24.983861522176177,49.94191121187832,29.40890932961617,6.22,-25.484771,3.77,43.2,3.3,837.49,294.22,543.27,0.3940100000000001,119.9000015258789,265.8999938964844,13248.142,102.4
2001-07-06,26.87,0.9700000000000024,6.7664798686012375,7.736479868601241,22.650031268515647,32.08370132998871,25.00094872044116,49.94850918595296,29.431224244285378,6.22,-26.574948732184268,3.723000880828706,43.2,3.0,834.845,291.112,543.733,0.39360651885857895,119.33000183105469,267.1000061035156,13249.692476717066,102.01924152117401
2001-07-13,27.07,2.6000000000000014,6.1259259251606055,8.72592592516061,22.64597202097623,32.09589321646677,25.018056810932727,49.95506613283826,29.453573938159504,6.22,-27.633009064528547,3.6770271867335906,43.25770609318997,3.19,841.866,298.133,543.733,0.3932089381805504,117.20999908447266,269.8999938964844,13251.510651913442,101.64840654168799
2001-07-20,25.26,1.7900000000000027,7.52233816967814,9.312338169678142,22.641901180591898,32.10806166745806,25.035185713168634,49.96158203915299,29.475958330660124,6.22,-28.65878539739527,3.6320503102787,43.38207885304659,3.07,843.246,299.513,543.733,0.3928172610918276,116.94000244140625,267.3999938964844,13253.588165814277,101.28749506154196
2001-07-27,26.5,1.8099999999999987,5.895716602153807,7.705716602153804,22.637818894446788,32.120206620012,25.05233534666653,49.96805689151588,29.4983773412088,6.22,-29.65211113114687,3.5880416440280816,43.5,3.08,842.196,298.463,543.733,0.3924314907183238,116.13999938964844,267.8999938964844,13255.916658644719,100.93650708073586
2001-08-03,27.1,2.270000000000003,4.936061222587621,7.206061222587626,22.633725309625017,32.13232801117803,25.069505630944168,49.97449067654571,29.52083088922712,6.22,-30.61281966614577,3.5449725805457817,43.5,3.21,835.537,291.804,543.733,0.39205163018595235,115.29000091552734,273.8999938964844,13258.48777062992,100.59544259926977
2001-08-10,27.87,2.2699999999999996,3.8333720309795893,6.103372030979585,22.629620573210744,32.14442577800558,25.086696485519212,49.98088338086124,29.543318894136647,6.22,-31.54074440275442,3.5028145123958465,44.260658667082225,3.09,832.688,288.954,543.734,0.39167768262062647,112.98999786376953,279.29998779296875,13261.293141995024,100.26430161714366
2001-08-17,27.52,2.1099999999999994,3.8776490273296957,5.987649027329695,22.625504832288062,32.156499857544084,25.103907829909407,49.98723499108122,29.565841275358938,6.22,-32.435718741335236,3.461538832142324,45.583324502623235,3.18,828.685,284.951,543.734,0.3913096511482594,113.33000183105469,272.5,13264.324412965185,99.9430841343575
2001-08-24,27.25,1.7699999999999996,3.868892211637965,5.638892211637966,22.621378233941133,32.16855018684296,25.121139583632417,49.99354549382443,29.588397952315596,6.22,-33.29757608225065,3.42111693234926,46.3,3.04,831.382,287.648,543.734,0.39094753889476447,113.41999816894531,274.3999938964844,13267.573223765552,99.63179015091134
2001-08-31,26.84,0.2699999999999996,4.027101583904364,4.29710158390436,22.617240925254073,32.180576702951626,25.138391666205997,49.99981487570959,29.610988844428174,6.22,-34.1261498258631,3.381520205580702,46.3,2.45,829.428,285.694,543.734,0.3905913489860548,114.05000305175781,273.1000061035156,13271.031214621273,99.33041966680513
2001-09-07,27.38,0.7399999999999984,3.262277144128911,4.002277144128911,22.613093053311026,32.19257934291954,25.155663997147826,50.0060431233555,29.633613871118254,6.22,-34.921273372535026,3.3427200444006964,46.275302635497326,2.34,830.389,286.655,543.734,0.3902410845480439,114.56999969482422,290.20001220703125,13274.690025757496,99.03897268203887
2001-09-14,28.22,-0.25,2.224418892311609,1.9744188923116088,22.608934765196107,32.20455804379612,25.17295649597561,50.01223022338088,29.656272951807402,6.22,-35.68278012262885,3.3046878413732896,46.25015485407981,2.4,830.307,286.029,544.278,0.38989674870664476,113.04000091552734,291.8999938964844,13278.541297399375,98.75744919661261
2001-09-21,27.09,0.6799999999999997,3.1835268284524525,3.86352682845245,22.604766207993453,32.21651274263078,25.19026908220705,50.018376162404515,29.67896600591719,6.22,-36.41050347650701,3.267394989062529,46.224929645622396,2.15,833.974,289.215,544.759,0.38955834458777083,113.4800033569336,292.3999938964844,13282.576669772054,98.48584921052633
2001-09-28,22.35,1.4000000000000021,7.779600952551438,9.179600952551445,22.6005875287872,32.22844337647297,25.207601675359868,50.02448092704516,29.70169295286919,6.22,-37.10427683453194,3.2308128800324605,46.2,1.9,835.586,290.827,544.759,0.3892258753173353,112.91000366210938,291.3999938964844,13286.787783100684,98.22417272378001
2001-10-05,22.6,1.490000000000002,7.412641264608571,8.902641264608576,22.596398874661475,32.24034988237211,25.224954194951756,50.030544503921575,29.72445371208498,6.22,-37.76393359706605,3.1949129068471316,46.2,1.96,835.459,290.699,544.76,0.3888993440212515,113.88999938964844,284.8999938964844,13291.166277610417,97.97241973637367
2001-10-12,22.66,1.75,7.262647764623854,9.012647764623855,22.592200392700406,32.25223219737762,25.24232656050046,50.03656687965251,29.74724820298613,6.22,-38.38930716447181,3.1596664620705894,44.94076523382145,2.21,831.019,286.259,544.76,0.38857875382543267,114.86000061035156,280.1000061035156,13295.703793526398,97.73059024830731
2001-10-19,21.92,2.0400000000000027,7.939620452597282,9.979620452597283,22.587992229988142,32.26409025853896,25.259718691523606,50.04254804085673,29.770076344994216,6.22,-38.98023093711162,3.1250449382668792,42.49796882380728,2.42,833.842,289.082,544.76,0.388264107855792,115.6500015258789,277.8999938964844,13300.39197107378,97.49868425958091
2001-10-26,21.78,1.3200000000000003,8.043559328528852,9.363559328528853,22.583774533608782,32.27592400290552,25.277130507538985,50.04848797415299,29.7929380575308,6.22,-39.53653831534793,3.0910197280000493,40.8,2.86,836.298,291.538,544.76,0.3879554092382429,114.54000091552734,279.79998779296875,13305.222450477711,97.27670177019448
2001-11-02,21.17,1.4500000000000028,8.644464392418575,10.094464392418578,22.57954745064649,32.28773336752676,25.29456192806423,50.05438666616005,29.815833260017467,6.22,-40.05806269954317,3.057562223834145,40.8,3.06,840.757,295.552,545.205,0.3876526610986984,115.08999633789062,277.3999938964844,13310.186871963338,97.06464278014803
