DATE,WPSID69113
1974-01-01,25.9
1974-02-01,28.1
1974-03-01,29.9
1974-04-01,31.0
1974-05-01,32.6
1974-06-01,33.4
1974-07-01,35.2
1974-08-01,36.0
1974-09-01,35.5
1974-10-01,36.3
1974-11-01,36.4
1974-12-01,36.5
1975-01-01,37.2
1975-02-01,36.9
1975-03-01,37.3
1975-04-01,37.8
1975-05-01,37.6
1975-06-01,37.9
1975-07-01,38.4
1975-08-01,39.2
1975-09-01,39.7
1975-10-01,40.1
1975-11-01,40.7
1975-12-01,40.9
1976-01-01,40.8
1976-02-01,40.7
1976-03-01,40.6
1976-04-01,40.6
1976-05-01,40.5
1976-06-01,40.7
1976-07-01,41.2
1976-08-01,41.6
1976-09-01,42.2
1976-10-01,42.5
1976-11-01,43.1
1976-12-01,43.4
1977-01-01,43.9
1977-02-01,45.1
1977-03-01,45.7
1977-04-01,46.4
1977-05-01,46.6
1977-06-01,47.0
1977-07-01,47.4
1977-08-01,47.7
1977-09-01,47.7
1977-10-01,48.1
1977-11-01,48.2
1977-12-01,48.3
1978-01-01,48.6
1978-02-01,48.5
1978-03-01,48.6
1978-04-01,48.5
1978-05-01,48.9
1978-06-01,49.4
1978-07-01,49.1
1978-08-01,48.7
1978-09-01,49.0
1978-10-01,49.5
1978-11-01,50.1
1978-12-01,50.6
1979-01-01,51.2
1979-02-01,51.4
1979-03-01,52.4
1979-04-01,54.3
1979-05-01,56.4
1979-06-01,58.8
1979-07-01,61.3
1979-08-01,64.5
1979-09-01,67.7
1979-10-01,70.1
1979-11-01,71.9
1979-12-01,73.1
1980-01-01,76.3
1980-02-01,79.8
1980-03-01,82.5
1980-04-01,84.1
1980-05-01,84.0
1980-06-01,84.8
1980-07-01,86.5
1980-08-01,86.6
1980-09-01,87.3
1980-10-01,87.3
1980-11-01,88.8
1980-12-01,91.5
1981-01-01,94.0
1981-02-01,96.7
1981-03-01,100.8
1981-04-01,103.3
1981-05-01,102.8
1981-06-01,101.9
1981-07-01,100.8
1981-08-01,101.6
1981-09-01,100.8
1981-10-01,100.6
1981-11-01,100.9
1981-12-01,101.6
1982-01-01,102.7
1982-02-01,101.4
1982-03-01,100.2
1982-04-01,99.1
1982-05-01,97.1
1982-06-01,98.0
1982-07-01,100.6
