Date	ActualValue	ForecastValue	PreviousValue
2022.09.09	214.5		229.2
2022.09.02	229.2		246.2
2022.08.26	246.2		214.9
2022.08.19	214.9		210.7
2022.08.12	210.7		253.8
2022.08.05	253.8		259.3
2022.07.29	259.3		271.1
2022.07.22	271.1		268.3
2022.07.15	268.3		280.5
2022.07.08	280.5		299.7
2022.07.01	299.7		289.5
2022.06.24	289.5		302.9
2022.06.17	302.9		328.3
2022.06.10	328.3		333.0
2022.06.03	333.0		334.8
2022.05.27	334.8		325.6
2022.05.20	325.6		310.8
2022.05.13	310.8		321.7
2022.05.06	321.7		316.1
2022.04.29	316.1		307.7
2022.04.22	307.7		304.8
2022.04.15	304.8		308.6
2022.04.08	308.6		318.7
2022.04.01	318.7		340.0
2022.03.25	340.0		341.8
2022.03.18	341.8		361.7
2022.03.11	361.7		368.7
2022.03.04	368.7		339.0
2022.02.25	339.0		348.1
2022.02.18	348.1		363.4
2022.02.11	363.4		368.9
2022.02.04	368.9		373.4
2022.01.28	373.4		385.8
2022.01.21	385.8		360.5
2022.01.14	360.5		332.8
2022.01.07	332.8		338.4
2022.01.03	338.4		340.3
2021.12.27	340.3		347.1
2021.12.17	347.1		367.2
2021.12.10	367.2		387.2
2021.12.03	387.2		407.7
2021.11.29	407.7		415.8
2021.11.19	415.8		421.3
2021.11.15	421.3		419.3
2021.11.05	419.3		423.7
2021.10.29	423.7		429.6
2021.10.22	429.6		404.8
2021.10.15	404.8		398.3
2021.10.08	398.3		373.8
2021.10.01	373.8		356.0
2021.09.24	356.0		355.1
2021.09.17	355.1		349.2
2021.09.10	349.2		356.5
2021.09.03	356.5		374.3
2021.08.27	374.3		404.3
2021.08.20	404.3		400.4
2021.08.13	400.4		430.5
2021.08.06	430.5		449.8
2021.07.30	449.8		448.7
2021.07.23	448.7		499.1
2021.07.16	499.1		497.4
2021.07.09	497.4		522.5
2021.07.02	522.5		526.2
2021.06.25	526.2		524.0
2021.06.21	524.0		510.5
2021.06.11	510.5		491.3
2021.06.04	491.3		475.5
2021.05.28	475.5		475.9
2021.05.21	475.9		496.6
2021.05.14	496.6		500.0
2021.05.07	500.0		489.7
2021.04.30	489.7		500.0
2021.04.23	500.0		492.7
2021.04.16	492.7		511.7
2021.04.09	511.7		531.3
2021.04.02	531.3		523.1
2021.03.26	523.1		525.4
2021.03.19	525.4		537.4
2021.03.12	537.4		519.0
2021.03.05	519.0		511.8
2021.02.26	511.8		514.7
2021.02.19	514.7		514.3
2021.02.12	514.3		499.2
2021.02.05	499.2		504.6
2021.01.29	504.6		508.6
2021.01.22	508.6		527.7
2021.01.15	527.7		518.6
2021.01.08	518.6		511.7
2021.01.04	511.7		525.7
2020.12.28	525.7		513.8
2020.12.18	513.8		514.6
2020.12.11	514.6		517.2
2020.12.04	517.2		522.6
2020.11.30	522.6		480.8
2020.11.20	480.8		463.5
2020.11.16	463.5		442.5
2020.11.06	442.5		472.1
2020.10.30	472.1		490.3
2020.10.23	490.3		472.8
2020.10.16	472.8		471.5
2020.10.09	471.5		461.9
2020.10.02	461.9		472.8
2020.09.25	472.8		449.7
2020.09.18	449.7		449.4
2020.09.11	449.4		490.9
2020.09.04	490.9		500.7
2020.08.28	500.7		510.7
